id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
333,2023,Chennai,2020-11-28,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,67,3,Eden Gardens
334,2023,Chennai,2020-11-29,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,normal,0,Mumbai Indians,41,5,Eden Gardens
335,2023,Jaipur,2020-11-30,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,tie,0,Mumbai Indians,15,6,Wankhede Stadium
336,2024,Chennai,2020-12-01,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,54,1,M Chinnaswamy Stadium
337,2024,Delhi,2020-12-02,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,7,0,M Chinnaswamy Stadium
338,2023,Mumbai,2020-12-03,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,50,7,Wankhede Stadium
339,2021,Jaipur,2020-12-04,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,field,normal,1,Mumbai Indians,93,2,M Chinnaswamy Stadium
340,2022,Kolkata,2020-12-05,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,9,0,M Chinnaswamy Stadium
341,2021,Kolkata,2020-12-06,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,40,6,Wankhede Stadium
342,2024,Mumbai,2020-12-07,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,tie,0,Chennai Super Kings,81,5,M Chinnaswamy Stadium
343,2024,Mumbai,2020-12-08,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,42,7,MA Chidambaram Stadium
344,2021,Jaipur,2020-12-09,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,normal,1,Kolkata Knight Riders,97,6,M Chinnaswamy Stadium
345,2020,Delhi,2020-12-10,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,tie,1,Mumbai Indians,31,0,MA Chidambaram Stadium
346,2021,Delhi,2020-12-11,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,2,2,M Chinnaswamy Stadium
347,2023,Jaipur,2020-12-12,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,68,7,Wankhede Stadium
348,2021,Bangalore,2020-12-13,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,2,7,Wankhede Stadium
349,2021,Jaipur,2020-12-14,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,47,3,Wankhede Stadium
350,2024,Hyderabad,2020-12-15,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,16,6,MA Chidambaram Stadium
351,2021,Bangalore,2020-12-16,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,8,0,Eden Gardens
352,2023,Jaipur,2020-12-17,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,64,3,M Chinnaswamy Stadium
353,2024,Mohali,2020-12-18,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,field,tie,0,Kolkata Knight Riders,33,8,Eden Gardens
354,2022,Mohali,2020-12-19,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,51,1,Eden Gardens
355,2022,Mumbai,2020-12-20,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,tie,0,Mumbai Indians,79,7,MA Chidambaram Stadium
356,2024,Delhi,2020-12-21,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,field,tie,0,Royal Challengers Bangalore,88,9,M Chinnaswamy Stadium
357,2024,Chennai,2020-12-22,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,field,normal,0,Chennai Super Kings,69,8,M Chinnaswamy Stadium
358,2020,Hyderabad,2020-12-23,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,1,Mumbai Indians,81,2,M Chinnaswamy Stadium
359,2022,Mohali,2020-12-24,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,bat,tie,0,Royal Challengers Bangalore,61,3,M Chinnaswamy Stadium
360,2021,Mohali,2020-12-25,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,54,7,M Chinnaswamy Stadium
361,2022,Hyderabad,2020-12-26,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,field,normal,0,Mumbai Indians,90,1,MA Chidambaram Stadium
362,2020,Chennai,2020-12-27,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,85,0,MA Chidambaram Stadium
363,2024,Kolkata,2020-12-28,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,98,5,MA Chidambaram Stadium
364,2020,Jaipur,2020-12-29,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,normal,0,Chennai Super Kings,75,0,MA Chidambaram Stadium
365,2022,Chennai,2020-12-30,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,field,tie,0,Kolkata Knight Riders,71,5,M Chinnaswamy Stadium
366,2024,Chennai,2020-12-31,Mumbai Indians,Punjab Kings,Chennai Super Kings,field,tie,0,Chennai Super Kings,99,0,Wankhede Stadium
367,2023,Hyderabad,2021-01-01,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Chennai Super Kings,12,1,M Chinnaswamy Stadium
368,2024,Delhi,2021-01-02,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,41,5,Wankhede Stadium
369,2022,Mohali,2021-01-03,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,37,7,M Chinnaswamy Stadium
370,2021,Chennai,2021-01-04,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,field,tie,0,Kolkata Knight Riders,83,0,Wankhede Stadium
371,2023,Hyderabad,2021-01-05,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,1,Mumbai Indians,5,0,MA Chidambaram Stadium
372,2023,Chennai,2021-01-06,Chennai Super Kings,Delhi Capitals,Mumbai Indians,field,normal,0,Chennai Super Kings,26,5,Wankhede Stadium
373,2020,Mumbai,2021-01-07,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,field,tie,0,Chennai Super Kings,84,4,M Chinnaswamy Stadium
374,2023,Bangalore,2021-01-08,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,75,9,MA Chidambaram Stadium
375,2020,Hyderabad,2021-01-09,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,50,3,MA Chidambaram Stadium
376,2023,Mohali,2021-01-10,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,8,4,M Chinnaswamy Stadium
377,2023,Chennai,2021-01-11,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,90,3,M Chinnaswamy Stadium
378,2021,Delhi,2021-01-12,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,tie,0,Chennai Super Kings,89,1,Eden Gardens
379,2024,Mumbai,2021-01-13,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,tie,0,Chennai Super Kings,74,9,Wankhede Stadium
380,2021,Bangalore,2021-01-14,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,69,7,Eden Gardens
381,2023,Kolkata,2021-01-15,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,tie,1,Chennai Super Kings,88,4,Wankhede Stadium
382,2023,Chennai,2021-01-16,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,normal,1,Chennai Super Kings,38,5,Wankhede Stadium
383,2020,Hyderabad,2021-01-17,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,74,4,Eden Gardens
384,2021,Hyderabad,2021-01-18,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,80,5,Eden Gardens
385,2023,Mumbai,2021-01-19,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,8,3,Wankhede Stadium
386,2022,Mumbai,2021-01-20,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,79,2,Wankhede Stadium
387,2022,Chennai,2021-01-21,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Chennai Super Kings,2,3,Eden Gardens
388,2021,Mohali,2021-01-22,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,1,0,M Chinnaswamy Stadium
389,2023,Mumbai,2021-01-23,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Royal Challengers Bangalore,86,9,M Chinnaswamy Stadium
390,2020,Mohali,2021-01-24,Chennai Super Kings,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,39,0,Wankhede Stadium
391,2020,Bangalore,2021-01-25,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,1,Royal Challengers Bangalore,35,5,M Chinnaswamy Stadium
392,2023,Kolkata,2021-01-26,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,28,2,Wankhede Stadium
393,2020,Jaipur,2021-01-27,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,3,0,Eden Gardens
394,2024,Delhi,2021-01-28,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,23,1,MA Chidambaram Stadium
395,2020,Hyderabad,2021-01-29,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,29,9,M Chinnaswamy Stadium
396,2021,Hyderabad,2021-01-30,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,89,7,MA Chidambaram Stadium
397,2020,Mohali,2021-01-31,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Mumbai Indians,74,0,Wankhede Stadium
398,2022,Kolkata,2021-02-01,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,20,5,M Chinnaswamy Stadium
399,2022,Jaipur,2021-02-02,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,15,0,M Chinnaswamy Stadium
400,2021,Mumbai,2021-02-03,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,64,3,MA Chidambaram Stadium
401,2024,Delhi,2021-02-04,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,87,0,Eden Gardens
402,2021,Kolkata,2021-02-05,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,43,2,Wankhede Stadium
403,2023,Kolkata,2021-02-06,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,field,normal,1,Royal Challengers Bangalore,88,9,Wankhede Stadium
404,2021,Delhi,2021-02-07,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,48,0,M Chinnaswamy Stadium
405,2024,Hyderabad,2021-02-08,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,75,7,MA Chidambaram Stadium
406,2022,Bangalore,2021-02-09,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,93,8,Wankhede Stadium
407,2022,Hyderabad,2021-02-10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,1,6,MA Chidambaram Stadium
408,2022,Bangalore,2021-02-11,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,tie,0,Mumbai Indians,58,6,MA Chidambaram Stadium
409,2023,Hyderabad,2021-02-12,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,bat,tie,0,Mumbai Indians,3,1,MA Chidambaram Stadium
410,2023,Chennai,2021-02-13,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,tie,0,Mumbai Indians,19,3,MA Chidambaram Stadium
411,2023,Bangalore,2021-02-14,Mumbai Indians,Punjab Kings,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,82,9,Wankhede Stadium
412,2021,Delhi,2021-02-15,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,7,7,Eden Gardens
413,2022,Hyderabad,2021-02-16,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,1,Royal Challengers Bangalore,70,1,Wankhede Stadium
414,2024,Delhi,2021-02-17,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,44,0,MA Chidambaram Stadium
415,2022,Kolkata,2021-02-18,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,field,tie,0,Mumbai Indians,54,7,Eden Gardens
416,2024,Hyderabad,2021-02-19,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,normal,0,Mumbai Indians,72,2,Eden Gardens
417,2022,Mohali,2021-02-20,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,55,3,Wankhede Stadium
418,2024,Hyderabad,2021-02-21,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,6,5,M Chinnaswamy Stadium
419,2024,Chennai,2021-02-22,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,59,7,Eden Gardens
420,2024,Delhi,2021-02-23,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,field,tie,0,Chennai Super Kings,67,3,M Chinnaswamy Stadium
421,2023,Mumbai,2021-02-24,Mumbai Indians,Punjab Kings,Chennai Super Kings,field,tie,0,Chennai Super Kings,84,9,Eden Gardens
422,2023,Jaipur,2021-02-25,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,5,9,Wankhede Stadium
423,2023,Mohali,2021-02-26,Chennai Super Kings,Punjab Kings,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,32,9,M Chinnaswamy Stadium
424,2020,Jaipur,2021-02-27,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,bat,normal,0,Chennai Super Kings,57,5,Eden Gardens
425,2020,Hyderabad,2021-02-28,Mumbai Indians,Delhi Capitals,Chennai Super Kings,field,tie,0,Chennai Super Kings,51,1,M Chinnaswamy Stadium
426,2020,Chennai,2021-03-01,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,63,8,Eden Gardens
427,2021,Mohali,2021-03-02,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,tie,0,Kolkata Knight Riders,74,7,MA Chidambaram Stadium
428,2020,Hyderabad,2021-03-03,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,93,8,Eden Gardens
429,2021,Delhi,2021-03-04,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Kolkata Knight Riders,36,5,M Chinnaswamy Stadium
430,2020,Kolkata,2021-03-05,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,42,9,M Chinnaswamy Stadium
431,2021,Chennai,2021-03-06,Chennai Super Kings,Delhi Capitals,Mumbai Indians,field,normal,0,Chennai Super Kings,65,7,MA Chidambaram Stadium
432,2020,Delhi,2021-03-07,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Mumbai Indians,24,2,Wankhede Stadium
433,2020,Jaipur,2021-03-08,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,28,1,Wankhede Stadium
434,2024,Kolkata,2021-03-09,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,80,4,Eden Gardens
435,2024,Hyderabad,2021-03-10,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,4,2,Eden Gardens
436,2024,Mohali,2021-03-11,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,38,1,Eden Gardens
437,2020,Mohali,2021-03-12,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,tie,0,Kolkata Knight Riders,42,6,M Chinnaswamy Stadium
438,2023,Kolkata,2021-03-13,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,field,normal,1,Mumbai Indians,84,8,M Chinnaswamy Stadium
439,2023,Jaipur,2021-03-14,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,34,0,MA Chidambaram Stadium
440,2024,Chennai,2021-03-15,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,45,9,MA Chidambaram Stadium
441,2020,Kolkata,2021-03-16,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,40,1,Eden Gardens
442,2021,Chennai,2021-03-17,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,82,2,MA Chidambaram Stadium
443,2023,Kolkata,2021-03-18,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,24,9,M Chinnaswamy Stadium
444,2024,Mumbai,2021-03-19,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,35,3,Wankhede Stadium
445,2023,Mohali,2021-03-20,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,tie,0,Chennai Super Kings,36,6,Eden Gardens
446,2020,Chennai,2021-03-21,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,normal,0,Mumbai Indians,6,1,MA Chidambaram Stadium
447,2020,Mumbai,2021-03-22,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,40,9,MA Chidambaram Stadium
448,2024,Chennai,2021-03-23,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,45,3,Wankhede Stadium
449,2024,Jaipur,2021-03-24,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,82,7,Wankhede Stadium
450,2022,Delhi,2021-03-25,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,1,Kolkata Knight Riders,7,8,MA Chidambaram Stadium
451,2024,Chennai,2021-03-26,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,39,6,Eden Gardens
452,2024,Mohali,2021-03-27,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,23,8,M Chinnaswamy Stadium
453,2022,Chennai,2021-03-28,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,60,4,Eden Gardens
454,2021,Chennai,2021-03-29,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,43,6,MA Chidambaram Stadium
455,2024,Kolkata,2021-03-30,Mumbai Indians,Punjab Kings,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,80,8,Wankhede Stadium
456,2022,Jaipur,2021-03-31,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,44,2,Wankhede Stadium
457,2021,Bangalore,2021-04-01,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,72,3,MA Chidambaram Stadium
458,2020,Delhi,2021-04-02,Mumbai Indians,Punjab Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,88,5,M Chinnaswamy Stadium
459,2022,Hyderabad,2021-04-03,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,normal,1,Kolkata Knight Riders,62,7,M Chinnaswamy Stadium
460,2021,Bangalore,2021-04-04,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,96,0,M Chinnaswamy Stadium
461,2020,Bangalore,2021-04-05,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,normal,1,Chennai Super Kings,97,7,Wankhede Stadium
462,2024,Jaipur,2021-04-06,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,25,3,MA Chidambaram Stadium
463,2022,Chennai,2021-04-07,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,bat,tie,0,Chennai Super Kings,43,9,Wankhede Stadium
464,2020,Kolkata,2021-04-08,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,59,5,M Chinnaswamy Stadium
465,2024,Kolkata,2021-04-09,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,field,normal,0,Kolkata Knight Riders,59,4,Wankhede Stadium
466,2020,Mohali,2021-04-10,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,83,3,M Chinnaswamy Stadium
467,2020,Mumbai,2021-04-11,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,34,3,M Chinnaswamy Stadium
468,2021,Kolkata,2021-04-12,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,normal,0,Mumbai Indians,16,4,M Chinnaswamy Stadium
469,2021,Mohali,2021-04-13,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,2,9,MA Chidambaram Stadium
470,2022,Mumbai,2021-04-14,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,field,tie,0,Chennai Super Kings,72,3,Wankhede Stadium
471,2023,Hyderabad,2021-04-15,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,98,1,Eden Gardens
472,2024,Bangalore,2021-04-16,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,field,normal,1,Chennai Super Kings,9,8,MA Chidambaram Stadium
473,2023,Mohali,2021-04-17,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,normal,1,Chennai Super Kings,50,5,Wankhede Stadium
474,2024,Mohali,2021-04-18,Mumbai Indians,Delhi Capitals,Chennai Super Kings,field,normal,0,Chennai Super Kings,23,4,MA Chidambaram Stadium
475,2020,Delhi,2021-04-19,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,83,9,Wankhede Stadium
476,2020,Delhi,2021-04-20,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,49,3,Eden Gardens
477,2023,Bangalore,2021-04-21,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Mumbai Indians,50,7,MA Chidambaram Stadium
478,2020,Jaipur,2021-04-22,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,77,2,MA Chidambaram Stadium
479,2021,Chennai,2021-04-23,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,61,1,Wankhede Stadium
480,2024,Hyderabad,2021-04-24,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,69,5,MA Chidambaram Stadium
481,2020,Kolkata,2021-04-25,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,78,0,Eden Gardens
482,2021,Kolkata,2021-04-26,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,14,2,Eden Gardens
483,2024,Delhi,2021-04-27,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,33,8,Wankhede Stadium
484,2021,Mumbai,2021-04-28,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,4,1,Eden Gardens
485,2020,Jaipur,2021-04-29,Kolkata Knight Riders,Punjab Kings,Mumbai Indians,bat,tie,0,Royal Challengers Bangalore,38,9,MA Chidambaram Stadium
486,2020,Jaipur,2021-04-30,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,7,1,Wankhede Stadium
487,2020,Delhi,2021-05-01,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,tie,0,Mumbai Indians,46,9,MA Chidambaram Stadium
488,2023,Mohali,2021-05-02,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,tie,0,Mumbai Indians,47,1,MA Chidambaram Stadium
489,2022,Bangalore,2021-05-03,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,21,2,M Chinnaswamy Stadium
490,2022,Mumbai,2021-05-04,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,40,4,MA Chidambaram Stadium
491,2022,Bangalore,2021-05-05,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,2,9,MA Chidambaram Stadium
492,2024,Delhi,2021-05-06,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Kolkata Knight Riders,73,7,Eden Gardens
493,2020,Bangalore,2021-05-07,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,11,9,Eden Gardens
494,2022,Mohali,2021-05-08,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Kolkata Knight Riders,3,2,Eden Gardens
495,2021,Mohali,2021-05-09,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,50,0,Wankhede Stadium
496,2022,Delhi,2021-05-10,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,77,6,Wankhede Stadium
497,2022,Delhi,2021-05-11,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,14,0,M Chinnaswamy Stadium
498,2022,Mumbai,2021-05-12,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,61,8,M Chinnaswamy Stadium
